"Kommun_code","Year","Kommun_name","Revenue","Index_market","Employee","Population","Population_University","Percent_University","CPI_index","Output","nation_Output","Productivity","AveOutput","AveEmployee","EmployeeIndex","SalesIndex","Infrast","Border","Laen_code","Patent"
1980,2001,"Västerås",3712,146,1821,127799,13020,0.101878731445473,267.1,1389.7416697866,0.634960354278071,120.192543045427,229.66010682468,361.692041522491,503.466980455185,605.129767203111,0,0,19,94
1980,2002,"Västerås",3846,143,1886,128902,13895,0.107795069122279,272.8,1409.82404692082,0.636571956102149,117.429097590278,236.679215415682,371.80276816609,507.258192106169,595.668717443031,0,0,19,94
1980,2003,"Västerås",3990,142,1945,129987,14627,0.112526637279113,278.1,1434.73570658037,0.62705343107484,117.638032585863,241.45679592987,385.065743944637,505.108551094497,594.199761930528,0,0,19,94
1980,2004,"Västerås",4452,149,2158,131014,15434,0.117804204130856,279.2,1594.5558739255,0.628162204448897,117.629567265709,255.45552790474,406.671280276817,530.649717514124,624.200966408569,0,0,19,95
1980,2005,"Västerås",4908,153,2216,131934,16277,0.123372292206709,280.4,1750.35663338088,0.675913280515742,116.859980377104,272.266756832799,402.813148788927,550.130999115219,642.882977614408,0,0,19,80
1980,2006,"Västerås",5223,149,2179,132920,16800,0.126391814625339,284.22,1837.66096685666,0.697889490517439,120.843001048005,292.125915423478,418.584775086505,520.563606153541,629.064684039658,0,0,19,63
1980,2007,"Västerås",5778,153,2341,133728,17497,0.13084021296961,290.51,1988.91604419813,0.696518981133249,121.978160982865,308.23254510413,442.532871972318,529.000250211116,645.264776802274,0,0,19,75
1980,2008,"Västerås",5841,153,2467,134684,18028,0.133854058388524,300.61,1943.04913342869,0.655862927670821,120.08853585268,302.904279176747,461.840830449827,534.166716614721,641.472988994952,0,0,19,86
1980,2009,"Västerås",5558,142,2558,135936,18582,0.13669668079096,299.66,1854.76873790296,0.636977460813184,113.832208501283,309.593086697796,486.034602076125,526.299977218362,599.098887409414,0,0,19,65
1980,2010,"Västerås",5806,142,2512,137207,19082,0.139074537013418,303.46,1913.26698741185,0.657543944256305,115.832694900173,319.814357911762,486.377162629758,516.471617708785,598.242993186607,0,0,19,48
1980,2011,"Västerås",6370,155,2672,138709,19732,0.142254648220375,311.43,2045.40346145201,0.625833625330461,122.316103904682,313.059736607348,500.228373702422,534.156025621515,653.358839312332,0,0,19,31
1980,2012,"Västerås",6507,156,2832,140499,20472,0.145709222129695,314.2,2070.97390197327,0.622144281832325,117.54123869399,312.277680008987,501.937716262976,564.213428925962,663.183453237411,0,0,19,32
1981,2001,"Sala",271,63,194,21535,1202,0.0558161133039238,267.1,101.460127293149,0.634960354278071,82.3658269919109,229.66010682468,361.692041522491,53.6367897903931,44.1783854827703,0,0,19,94
1981,2002,"Sala",266,59,215,21663,1269,0.0585791441628583,272.8,97.5073313782991,0.636571956102149,71.2444943858314,236.679215415682,371.80276816609,57.8263580608836,41.198096422217,0,0,19,94
1981,2003,"Sala",276,59,189,21742,1331,0.061217919234661,278.1,99.2448759439051,0.62705343107484,83.7416937220607,241.45679592987,385.065743944637,49.0825275870745,41.1025399230139,0,0,19,94
1981,2004,"Sala",282,57,199,21554,1406,0.0652315115523801,279.2,101.002865329513,0.628162204448897,80.7995265376191,255.45552790474,406.671280276817,48.9338710775305,39.5383361471736,0,0,19,95
1981,2005,"Sala",287,55,198,21446,1484,0.0691970530635083,280.4,102.353780313837,0.675913280515742,76.4799715162988,272.266756832799,402.813148788927,49.1543040725692,37.5931977537357,0,0,19,80
1981,2006,"Sala",328,58,208,21360,1553,0.0727059925093633,284.22,115.403560622053,0.697889490517439,79.500381969011,292.125915423478,418.584775086505,49.691248315712,39.5047322161607,0,0,19,63
1981,2007,"Sala",349,58,226,21412,1624,0.0758453203810947,290.51,120.13355822519,0.696518981133249,76.3172908885779,308.23254510413,442.532871972318,51.0696525193132,38.9749752689501,0,0,19,75
1981,2008,"Sala",371,61,248,21365,1638,0.0766674467587175,300.61,123.415721366555,0.655862927670821,75.8762260790771,302.904279176747,461.840830449827,53.6981539199233,40.7441326685719,0,0,19,86
1981,2009,"Sala",435,70,289,21499,1678,0.0780501418670636,299.66,145.164519789094,0.636977460813184,78.8566954616577,309.593086697796,486.034602076125,59.4607871055929,46.8888118069619,0,0,19,65
1981,2010,"Sala",450,70,296,21535,1728,0.0802414673786859,303.46,148.289725169709,0.657543944256305,76.1894023395858,319.814357911762,486.377162629758,60.8581205580416,46.3674383282763,0,0,19,48
1981,2011,"Sala",437,68,269,21568,1757,0.0814632789317507,311.43,140.320457245609,0.625833625330461,83.3508086521721,313.059736607348,500.228373702422,53.7754382081541,44.8222626027456,0,0,19,31
1981,2012,"Sala",429,67,264,21596,1809,0.0837655121318763,314.2,136.53723742839,0.622144281832325,83.1296727324023,312.277680008987,501.937716262976,52.5961671032676,43.7230215827339,0,0,19,32
1982,2001,"Fagersta",181,74,114,12270,530,0.0431947840260799,267.1,67.7648820666417,0.634960354278071,93.616677963163,229.66010682468,361.692041522491,31.5185259593032,29.5065969460568,0,0,19,94
1982,2002,"Fagersta",150,58,82,12325,549,0.0445436105476673,272.8,54.9853372434018,0.636571956102149,105.338114063042,236.679215415682,371.80276816609,22.0547040046161,23.2320092606487,0,0,19,94
1982,2003,"Fagersta",145,54,84,12334,578,0.0468623317658505,278.1,52.1395181589356,0.62705343107484,98.9881433942837,241.45679592987,385.065743944637,21.8144567053664,21.5937256841921,0,0,19,94
1982,2004,"Fagersta",143,51,87,12231,615,0.0502820701496198,279.2,51.2177650429799,0.628162204448897,93.7194149621353,255.45552790474,406.671280276817,21.3931999183173,20.049581805127,0,0,19,95
1982,2005,"Fagersta",142,47,81,12270,675,0.0550122249388753,280.4,50.641940085592,0.675913280515742,92.4984247065108,272.266756832799,402.813148788927,20.1085789387783,18.6001187492351,0,0,19,80
1982,2006,"Fagersta",153,48,75,12202,687,0.0563022455335191,284.22,53.8315389487017,0.697889490517439,102.846347796008,292.125915423478,418.584775086505,17.9175174215308,18.4275122837579,0,0,19,63
1982,2007,"Fagersta",158,46,81,12183,713,0.0585241730279898,290.51,54.3871123197136,0.696518981133249,96.4002201368757,308.23254510413,442.532871972318,18.3037250179839,17.6448312105849,0,0,19,75
1982,2008,"Fagersta",158,45,79,12267,751,0.0612211624684112,300.61,52.5597950833306,0.655862927670821,101.440992278227,302.904279176747,461.840830449827,17.1054603212659,17.3519486836505,0,0,19,86
1982,2009,"Fagersta",158,45,84,12249,765,0.0624540778839089,299.66,52.726423279717,0.636977460813184,98.5428141261689,309.593086697796,486.034602076125,17.2827201275772,17.0308787712644,0,0,19,65
